%N64A206 
36.       36. 
%UPPER SURFACE 
0                         0
1.759000000000000e-03     3.370000000000000e-03
7.620000000000000e-03     6.769000000000000e-03
1.758200000000000e-02     1.009600000000000e-02
3.144400000000000e-02     1.345500000000000e-02
4.900700000000000e-02     1.675000000000000e-02
7.036800000000000e-02     1.987800000000000e-02
9.513099999999999e-02     2.304700000000000e-02
1.231900000000000e-01     2.595800000000000e-02
1.542450000000000e-01     2.851700000000000e-02
1.880970000000000e-01     3.092700000000000e-02
2.245420000000000e-01     3.289200000000000e-02
2.631810000000000e-01     3.441800000000000e-02
3.037120000000000e-01     3.551100000000000e-02
3.458370000000000e-01     3.617600000000000e-02
3.891490000000000e-01     3.612000000000000e-02
4.334510000000000e-01     3.544700000000000e-02
4.782400000000000e-01     3.406500000000000e-02
5.231170000000001e-01     3.198100000000000e-02
5.678860000000000e-01     2.939900000000000e-02
6.121460000000000e-01     2.632600000000000e-02
6.554000000000000e-01     2.297000000000000e-02
6.973480000000000e-01     1.923700000000000e-02
7.377920000000000e-01     1.533000000000000e-02
7.763330000000001e-01     1.125700000000000e-02
8.125700000000000e-01     7.023000000000000e-03
8.463050000000000e-01     2.733000000000000e-03
8.771409999999999e-01    -1.506000000000000e-03
9.049870000000000e-01    -5.093000000000000e-03
9.295380000000000e-01    -8.323000000000001e-03
9.506960000000000e-01    -1.109300000000000e-02
9.682630000000000e-01    -1.330000000000000e-02
9.820350000000000e-01    -1.514100000000000e-02
9.920160000000000e-01    -1.641500000000000e-02
9.980030000000000e-01    -1.722000000000000e-02
1.000000000000000e+00    -1.745500000000000e-02
%LOWER SURFACE 
0.000000 0.000000 
0.002249 -0.002940 
0.008509 -0.005350 
0.018576 -0.007426 
0.032446 -0.009369 
0.050120 -0.011178 
0.071398 -0.012850 
0.096075 -0.014581 
0.124056 -0.016170 
0.154938 -0.017709 
0.188724 -0.019099 
0.224912 -0.020431 
0.263403 -0.021603 
0.303700 -0.022506 
0.345598 -0.023338 
0.388702 -0.023890 
0.432814 -0.023960 
0.477433 -0.023638 
0.522156 -0.023119 
0.566784 -0.022297 
0.610915 -0.021267 
0.654045 -0.020319 
0.696076 -0.019252 
0.736504 -0.018357 
0.774928 -0.017628 
0.811148 -0.017160 
0.845058 -0.017151 
0.876062 -0.017492 
0.904170 -0.017483 
0.928977 -0.017516 
0.950283 -0.017588 
0.967988 -0.017597 
0.981891 -0.017639 
0.991893 -0.017714 
0.997995 -0.017720 
0.999997 -0.017655 
