        ***************************************************************
        **                                                           **
        **                  FLUTTER SUMMARY                          **
        **                                                           **
        ***************************************************************




PARAMETERS USED FOR AEROELASTIC ANALYSIS

AEROELASTIC BASE SIZE:                        4
REDUCED FREQUENCIES NUMBER:                   6


REDUCED FREQUENCY LIST:

0.00010  
0.10000  
0.20000  
0.50000  
0.80000  
1.00000  


REFERENCE CHORD:                          2.194500e+00
REFERENCE DENSITY:                             8.500000e-01
STRUCTURAL DAMPING:                            0


                    FREQUENCY SWEEP

DELTA V:                                       12.6274
MAXIMUM VELOCITY:                              631.37
MAXIMUM DELTA V:                               10
MINIMUM DELTA V:                               0.01
CONVERGENCE CRITERION (%):                     0.001 
ERROR CRITERION FOR STEP INCREASING (%):       0.001 
MAXIMUM NUMBER OF ITERATIONS FOR FIRST STEP:   100 
MAXIMUM NUMBER OF ITERATIONS DURING SWEEP:     101 




MODE NUMBER: 2, OMEGA: 6.059766.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder
0.256369            612.627400          -4.906904           11.390597           -27.946283          71.569234           -0.000614           0.014025            
0.255342            622.627400          -4.982094           11.530151           -28.722149          72.446076           -0.000583           0.013890            
0.254448            631.370000          -5.044794           11.651135           -29.388787          73.206237           -0.000558           0.013790            


MODE NUMBER: 3, OMEGA: 6.243306.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder

6.817278            12.627400           -0.000185           6.243232            -0.000577           39.227383           -0.000001           -0.000006           
3.804403            22.627400           -0.000302           6.243178            -0.000943           39.227046           -0.000001           -0.000005           
2.638367            32.627400           -0.000403           6.243129            -0.001258           39.226735           -0.000001           -0.000005           
2.019416            42.627400           -0.000493           6.243083            -0.001538           39.226445           -0.000001           -0.000004           
1.635685            52.627400           -0.000574           6.243039            -0.001790           39.226170           -0.000001           -0.000004           
1.374498            62.627400           -0.000647           6.242996            -0.002020           39.225903           -0.000001           -0.000004           
1.185237            72.627400           -0.000714           6.242954            -0.002229           39.225640           -0.000001           -0.000004           
1.041786            82.627400           -0.000773           6.242913            -0.002414           39.225377           -0.000000           -0.000004           
0.929309            92.627400           -0.000823           6.242871            -0.002570           39.225114           -0.000000           -0.000004           
0.838752            102.627400          -0.000859           6.242828            -0.002680           39.224847           -0.000000           -0.000004           
0.764275            112.627400          -0.000873           6.242786            -0.002726           39.224584           -0.000000           -0.000004           
0.701946            122.627400          -0.000866           6.242747            -0.002704           39.224336           0.000000            -0.000004           
0.649016            132.627400          -0.000839           6.242712            -0.002620           39.224119           0.000000            -0.000003           
0.603509            142.627400          -0.000796           6.242685            -0.002485           39.223944           0.000000            -0.000002           
0.563966            152.627400          -0.000740           6.242665            -0.002310           39.223822           0.000000            -0.000002           
0.529287            162.627400          -0.000676           6.242655            -0.002110           39.223756           0.000001            -0.000001           
0.498626            172.627400          -0.000608           6.242654            -0.001897           39.223749           0.000001            0.000000            
0.471324            182.627400          -0.000539           6.242661            -0.001682           39.223799           0.000001            0.000001            
0.446857            192.627400          -0.000473           6.242678            -0.001476           39.223900           0.000001            0.000002            
0.424805            202.627400          -0.000412           6.242701            -0.001285           39.224048           0.000000            0.000003            
0.404828            212.627400          -0.000357           6.242731            -0.001113           39.224235           0.000000            0.000003            
0.386646            222.627400          -0.000309           6.242766            -0.000964           39.224455           0.000000            0.000004            
0.370028            232.627400          -0.000269           6.242805            -0.000839           39.224702           0.000000            0.000004            
0.354779            242.627400          -0.000236           6.242848            -0.000737           39.224970           0.000000            0.000004            
0.340738            252.627400          -0.000211           6.242893            -0.000658           39.225256           0.000000            0.000005            
0.327767            262.627400          -0.000192           6.242941            -0.000600           39.225556           0.000000            0.000005            
0.315747            272.627400          -0.000180           6.242991            -0.000561           39.225868           0.000000            0.000005            
0.304577            282.627400          -0.000173           6.243042            -0.000541           39.226188           0.000000            0.000005            
0.294171            292.627400          -0.000172           6.243094            -0.000537           39.226517           -0.000000           0.000005            
0.284453            302.627400          -0.000176           6.243148            -0.000549           39.226853           -0.000000           0.000005            
0.275357            312.627400          -0.000184           6.243202            -0.000575           39.227197           -0.000000           0.000006            
0.266824            322.627400          -0.000197           6.243258            -0.000614           39.227546           -0.000000           0.000006            
0.258805            332.627400          -0.000213           6.243315            -0.000666           39.227903           -0.000000           0.000006            
0.251254            342.627400          -0.000234           6.243372            -0.000731           39.228266           -0.000000           0.000006            
0.244131            352.627400          -0.000259           6.243431            -0.000808           39.228637           -0.000000           0.000006            
0.237401            362.627400          -0.000288           6.243492            -0.000898           39.229015           -0.000000           0.000006            
0.231032            372.627400          -0.000321           6.243553            -0.001001           39.229401           -0.000000           0.000006            
