%N64A006 
36.       36. 
%UPPER SURFACE 
0                         0
2.000000000000000e-03     3.200000000000000e-03
8.000999999999999e-03     5.999000000000000e-03
1.800100000000000e-02     8.798000000000000e-03
3.190100000000000e-02     1.139700000000000e-02
4.950100000000000e-02     1.389500000000000e-02
7.080200000000000e-02     1.639300000000000e-02
9.550200000000000e-02     1.879000000000000e-02
1.235020000000000e-01     2.098800000000000e-02
1.545020000000000e-01     2.308500000000000e-02
1.883020000000000e-01     2.498100000000000e-02
2.246030000000000e-01     2.657800000000000e-02
2.631030000000000e-01     2.797400000000000e-02
3.035030000000000e-01     2.897000000000000e-02
3.455030000000000e-01     2.966500000000000e-02
3.887030000000000e-01     2.996100000000000e-02
4.329030000000000e-01     2.965700000000000e-02
4.776030000000000e-01     2.885200000000000e-02
5.224030000000000e-01     2.744800000000000e-02
5.671030000000000e-01     2.574300000000000e-02
6.113020000000000e-01     2.373900000000000e-02
6.545020000000000e-01     2.153500000000000e-02
6.965020000000000e-01     1.923000000000000e-02
7.369019999999999e-01     1.672600000000000e-02
7.754010000000000e-01     1.432200000000000e-02
8.117010000000000e-01     1.201900000000000e-02
8.455009999999999e-01     9.915000000000000e-03
8.765010000000000e-01     7.912000000000001e-03
9.045010000000000e-01     6.110000000000000e-03
9.292000000000000e-01     4.507000000000000e-03
9.505000000000000e-01     3.205000000000000e-03
9.681000000000000e-01     2.103000000000000e-03
9.820000000000000e-01     1.202000000000000e-03
9.920000000000000e-01     5.010000000000000e-04
9.980000000000000e-01     2.000000000000000e-04
1.000000000000000e+00                         0
%LOWER SURFACE 
0.000000 0.000000 
0.002000 -0.003200 
0.007999 -0.006001 
0.017999 -0.008802 
0.031899 -0.011403 
0.049499 -0.013905 
0.070798 -0.016407 
0.095498 -0.018810 
0.123498 -0.021012 
0.154498 -0.023115 
0.188297 -0.025019 
0.224597 -0.026622 
0.263097 -0.028026 
0.303497 -0.029030 
0.345497 -0.029735 
0.388697 -0.030039 
0.432897 -0.029743 
0.477597 -0.028948 
0.522397 -0.027552 
0.567097 -0.025857 
0.611298 -0.023861 
0.654498 -0.021665 
0.696498 -0.019370 
0.736898 -0.016874 
0.775399 -0.014478 
0.811699 -0.012181 
0.845499 -0.010085 
0.876499 -0.008088 
0.904499 -0.006290 
0.929200 -0.004693 
0.950500 -0.003395 
0.968100 -0.002297 
0.982000 -0.001398 
0.992000 -0.000699 
0.998000 -0.000400 
1.000000 -0.000200 
