36   36
 0.0000   0.0000
 0.0050   0.0080
 0.0100   0.0105
 0.0400   0.0209
 0.0700   0.0266
 0.1000   0.0302
 0.1300   0.0329
 0.1600   0.0353
 0.1900   0.0374
 0.2200   0.0392
 0.2500   0.0407
 0.2800   0.0420
 0.3100   0.0429
 0.3400   0.0436
 0.3700   0.0442
 0.4000   0.0446
 0.4300   0.0449
 0.4600   0.0450
 0.4900   0.0450
 0.5200   0.0448
 0.5500   0.0444
 0.5800   0.0437
 0.6100   0.0428
 0.6400   0.0415
 0.6700   0.0399
 0.7000   0.0379
 0.7300   0.0355
 0.7600   0.0327
 0.7900   0.0294
 0.8200   0.0257
 0.8500   0.0216
 0.8800   0.0174
 0.9100   0.0130
 0.9400   0.0088
 0.9700   0.0045
 1.0000   0.0000
 0.0000    0.0000
 0.0050   -0.0070
 0.0100   -0.0095
 0.0400   -0.0201
 0.0700   -0.0262
 0.1000   -0.0303
 0.1300   -0.0336
 0.1600   -0.0365
 0.1900   -0.0390
 0.2200   -0.0411
 0.2500   -0.0429
 0.2800   -0.0441
 0.3100   -0.0448
 0.3400   -0.0450
 0.3700   -0.0447
 0.4000   -0.0439
 0.4300   -0.0425
 0.4600   -0.0406
 0.4900   -0.0381
 0.5200   -0.0352
 0.5500   -0.0319
 0.5800   -0.0283
 0.6100   -0.0245
 0.6400   -0.0207
 0.6700   -0.0171
 0.7000   -0.0136
 0.7300   -0.0103
 0.7600   -0.0074
 0.7900   -0.0048
 0.8200   -0.0024
 0.8500   -0.0004
 0.8800    0.0011
 0.9100    0.0020
 0.9400    0.0021
 0.9700    0.0014
 1.0000    0.0000
